Accper,Stkcd,Indcd,F100101B,F100102B,F100103C,F100201B,F100202B,F100203C,F100301B,F100302B,F100303C,F100401A,F100501A,F100601B,F100602B,F100603C,F100701A,F100801A,F100802A,F100901A,F100902A,F100903A,F100904A,F101001A,F101002A,F101101B,F101201B,F101202B,F101301B,F101302C
2008-12-31,600111,C32,24.745563,24.745563,24.745563,1.75763,1.75763,1.75763,,,,2.5594330000000003,1.017205,33.509369,33.509369,33.509369,3.4603,7540741814.0,9228093690.0,1.305779,1.3533950000000001,1.597966,1.656237,0.765827,0.625796,,0.0,-0.856089,15.794863000000001,15.794863000000001
2008-09-30,600111,C32,21.783188,18.468729999999997,16.828823,3.510928,2.650988,2.638404,29.355153,,,4.003414,1.906752,28.479307000000002,23.381487,21.741817,4.989731,8169237362.0,11386302405.0,1.7010290000000001,1.774947,2.370898,2.473925,0.587879,0.421781,,0.0,-0.777163,17.770319,12.274445
2008-06-30,600111,C32,33.265953,21.748077,21.684891,5.361675,5.184119,4.982239,44.829396,,250.73634900000002,6.211638,3.077197,43.491858,27.114672,28.178075,7.77187,10305353511.0,15799772786.0,2.26225,2.366188,3.4683949999999997,3.6277489999999997,0.442038,0.28831799999999996,,0.0,-0.659697,23.690435,11.265121
2008-03-31,600111,C32,36.251872999999996,23.135499,31.291007,5.842934,5.133582,5.439676,48.85324,114.626318,49.255410999999995,7.049861,4.047352,47.395646,27.709059999999997,39.011581,8.854948,10123008458.0,16247203455.0,2.725679,2.805312,4.374655000000001,4.502464,0.366881,0.228589,,0.0,-0.258303,51.272748,16.323194
2007-12-31,600111,C32,48.876903999999996,48.876903999999996,48.876903999999996,7.877787,7.877787,7.877787,65.86680600000001,65.86680600000001,65.86680600000001,10.287061999999999,5.4793080000000005,63.901592,63.901592,63.901592,12.976333,12793169316.0,21479660595.0,3.45517,3.559847,5.8012120000000005,5.976963,0.289421,0.172378,1219.5,0.00082,3.3214580000000002,17.969589000000003,17.969589000000003
2007-09-30,600111,C32,177.76023700000002,68.604354,72.593924,16.381878,9.849363,10.316169,89.569783,55.022512,68.112858,13.190710999999999,8.008198,275.111887,87.69694799999999,94.606616,15.50795,13073277241.0,22895369723.0,4.678554,4.813499,8.193601,8.429933,0.213741,0.122046,,0.0,3.772365,28.315343,22.746847
2007-06-30,600111,C32,91.783404,60.403847,60.554412,8.458497,5.094285,6.0157300000000005,46.247797999999996,35.428177000000005,35.137834000000005,7.467552,4.533136,142.04923300000002,70.482162,81.35055799999999,8.664653999999999,7530087835.0,12282722205.0,2.945607,3.039561,4.804734,4.9579889999999995,0.339489,0.208128,,0.0,1.464128,32.438646999999996,18.464589
2007-03-31,600111,C32,56.515087,18.40097,32.428618,5.20827,3.2869230000000003,4.211235,28.476807,50.408758,30.874821999999998,4.4897,2.692917,87.46597299999999,26.374639000000002,48.931589,5.310886,5207205010.0,8023003321.0,1.9662849999999998,2.0278669999999996,3.029554,3.124437,0.5085729999999999,0.33008200000000004,,0.0,0.5172720000000001,31.090513,13.247606
2006-12-31,600111,C32,37.24783,37.24783,37.24783,3.432654,3.432654,3.432654,18.768427,18.768427,18.768427,3.171967,1.8693,57.64686700000001,57.64686700000001,57.64686700000001,3.714618,4005698411.0,5640601126.0,1.589613,1.642981,2.238404,2.313555,0.629084,0.446747,250.888889,0.003986,1.474445,15.996049,15.996049
2006-09-30,600111,C32,220.272431,41.170944,56.309552000000004,3.77275,2.8458669999999997,3.025793,32.31503,11.327169,12.823542,2.426107,1.496753,254.60235899999998,70.848272,109.627481,2.8216229999999998,3271657443.0,4294751091.0,1.3970200000000002,1.473965,1.8338869999999998,1.934895,0.7158100000000001,0.5452899999999999,,0.0,0.800875,23.812625,20.905314999999998
