,Stkcd,Accper,Indcd,F100101B,F100102B,F100103C,F100201B,F100202B,F100203C,F100301B,F100302B,F100303C,F100401A,F100501A,F100601B,F100602B,F100603C,F100701A,F100801A,F100802A,F100901A,F100902A,F100903A,F100904A,F101001A,F101002A,F101101B,F101201B,F101202B,F101301B,F101302C
162510,300489,2020-03-31,C32,,,,23.830464000000003,25.980596,22.622473,90.480396,,453.542985,8.805061,6.604378,,,,8.805061,2650170375.0,3227581218.0,5.30305,5.687629,6.458462,6.926832000000001,0.18857100000000002,0.154836,,0.0,0.690429,,
162602,603527,2020-03-31,C32,24.441548,29.653024,23.000156,0.703414,0.868138,0.7227520000000001,100.420386,,259.860863,2.4020040000000003,1.821236,24.441548,29.653024,23.000156,2.4020040000000003,2099228180.0,2605609283.0,1.637367,1.686034,2.032336,2.0927439999999997,0.610737,0.49204499999999995,,0.0,0.100592,83.93993499999999,17.157843
162629,603527,2019-12-31,C32,22.207643,22.207643,22.207643,0.639124,0.639124,0.639124,91.24217900000001,91.24217900000001,91.24217900000001,2.226814,1.754919,22.207643,22.207643,22.207643,2.226814,1912053219.0,2346333837.0,1.578578,1.628635,1.9371169999999998,1.9985439999999999,0.6334810000000001,0.516231,53.772727,0.018597,0.159388,14.224331,14.224331
162706,000878,2020-03-31,C32,16.983537,17.240949,16.860428,0.26157199999999997,0.23992,0.239481,15.456197,,,1.3259670000000001,0.363818,24.715263,34.008379999999995,26.819463,1.8944880000000002,51185820543.0,51324029544.0,1.083199,1.124886,1.0861239999999999,1.127924,0.923191,0.9207049999999999,,0.0,-0.28696900000000003,88.40856,23.464596
162711,000612,2020-03-31,C32,40.804593,12.944572,16.712818,0.913959,1.087646,0.951833,5.984230999999999,3.899332,4.4232949999999995,0.9886780000000001,0.5992109999999999,40.804593,12.944572,16.712818,0.9886780000000001,7268225122.0,7268177379.0,0.9931969999999999,1.000844,0.9931909999999999,1.000838,1.0068489999999999,1.006856,,0.0,-0.155093,59.295607,18.930428
162717,002114,2020-03-31,C32,94.431646,,,1.205797,2.871957,1.39062,6.665912,,9.080266,1.530473,1.7369009999999998,88.041988,,,1.529196,2973080977.0,2973091698.0,1.355753,2.294241,1.355758,2.294249,0.7375970000000001,0.737595,,0.0,-0.065772,,
162732,000962,2019-12-31,C32,73.575034,73.575034,73.575034,5.133903,5.133903,5.133903,13.418867,13.418867,13.418867,2.629683,1.9372669999999999,74.969321,74.969321,74.969321,2.6414470000000003,3557602545.0,3557609416.0,2.162359,2.233444,2.162363,2.2334490000000002,0.462458,0.46245699999999995,,0.0,0.141925,30.927459000000002,30.927459000000002
162841,002378,2019-12-31,C32,,,,2.66966,2.66966,2.66966,43.846825,43.846825,43.846825,2.884963,1.385506,,,,2.89624,6873839337.0,6877032077.0,1.863425,1.951745,1.8642900000000002,1.952652,0.536646,0.536397,,0.0,0.118644,,
162898,601137,2020-03-31,C32,18.682312,17.876876,16.933712,1.093734,1.074322,1.011888,12.19479,44.24817,9.535362,2.084531,1.126195,18.868256,17.876876,17.086335000000002,2.084531,11549184982.0,11991040393.0,1.505551,1.566454,1.563151,1.626385,0.664209,0.639733,,0.0,0.077265,79.070414,20.250664999999998
162998,002295,2019-12-31,C32,37.888084,37.888084,37.888084,0.37698000000000004,0.37698000000000004,0.37698000000000004,223.187469,223.187469,223.187469,1.624139,0.968016,37.888084,37.888084,37.888084,1.624139,2777767839.0,2779058910.0,1.36398,1.3916030000000001,1.364614,1.39225,0.7331489999999999,0.732808,128.5,0.007781999999999999,0.005195,20.275334,20.275334
163001,002295,2020-03-31,C32,30.762569,,59.206134999999996,0.306083,0.48195,0.342566,181.213172,3.588231,,1.335655,0.683597,30.762569,,59.206134999999996,1.335655,2728633850.0,2729319354.0,1.16855,1.1889459999999998,1.168843,1.189245,0.8557620000000001,0.855547,,0.0,-0.188067,,42.126127000000004
163314,603876,2019-12-31,C32,22.371939,22.371939,22.371939,0.612057,0.612057,0.612057,,,,1.7674400000000001,0.5260239999999999,22.276728,22.276728,22.276728,1.773887,15185082017.0,16523657765.0,1.121707,1.161464,1.220587,1.2638479999999999,0.8914979999999999,0.8192780000000001,,0.0,-0.14455199999999999,19.801044,19.801044
163430,002540,2020-03-31,C32,14.9516,28.191190000000002,16.02995,1.532834,1.933691,1.53564,32.63472,3.5340519999999995,13.745873000000001,1.160336,1.081234,14.9516,28.191190000000002,16.02995,1.160336,5745787244.0,5966844937.0,1.100947,1.147823,1.143304,1.191984,0.908309,0.874658,,0.0,0.0,95.295167,14.724876
163457,002540,2019-12-31,C32,14.9516,14.9516,14.9516,1.532834,1.532834,1.532834,32.63472,32.63472,32.63472,1.171353,1.12596,14.9516,14.9516,14.9516,1.171353,5579169842.0,5813195572.0,1.111073,1.160642,1.157678,1.2093260000000001,0.9000309999999999,0.863798,17.75,0.056338,-0.021584,10.012638,10.012638
163737,600961,2019-12-31,C32,46.352055,46.352055,46.352055,0.39163600000000004,0.39163600000000004,0.39163600000000004,6.030663,6.030663,6.030663,6.890663000000001,0.639374,56.601034,56.601034,56.601034,78.269973,10724741585.0,10724741585.0,1.537009,1.564419,1.537009,1.564419,0.650614,0.650614,,0.0,0.10358599999999998,29.570295,29.570295
